description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Création d'une video course platform with adaptive streaming technology,Education,simple,32,english,Application Web,MEDIUM,0.0,0.0
Développement d'un plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,43,french,SaaS,MEDIUM,0.0,0.1111111111111111
Développement d'un smart checkout system with object recognition technology avec logistics sécurisé et scalable,Retail,moyen,63,english,Système,HIGH,0.0,0.0
Mise en place d'un plateforme e-commerce omnicanale avec gestion des stocks avec marketplace,Retail,simple,29,french,SaaS,HIGH,0.0,0.07692307692307693
Création d'une social shopping application with community sharing features,Retail,simple,27,english,Application Web,LOW,0.0,0.0
Implémentation d'une système d'optimisation des prix avec analyse concurrentielle avec CRM-integration,Retail,simple,41,french,Système,MEDIUM,0.0,0.0
Développement d'un omnichannel e-commerce platform with inventory management avec CRM-integration,Retail,moyen,63,english,Application Web,HIGH,0.0,0.1
Système de gestion des commandes avec livraison prédictive,Retail,simple,27,french,Système,MEDIUM,0.0,0.125
Implémentation d'une omnichannel e-commerce platform with inventory management sécurisé et scalable,Retail,moyen,57,english,Application Web,LOW,0.0,0.09090909090909091
Implémentation d'une application mobile de shopping avec réalité augmentée,Retail,simple,38,french,Application Mobile,LOW,0.0,0.0
Développement d'un mobile shopping application with augmented reality features avec recommendation-engine,Retail,simple,63,english,Application Mobile,LOW,0.0,0.0
Création d'une application de shopping social avec partage communautaire avec omnichannel,Retail,moyen,75,french,Application Web,HIGH,0.0,0.0
Mise en place d'un order management system with predictive delivery optimization avec inventory avec analytics avancés,Retail,moyen,69,english,Système,HIGH,0.0,0.0625
Plateforme marketplace B2B avec catalogue dynamique,Retail,simple,38,french,SaaS,LOW,0.0,0.0
B2B marketplace platform with dynamic catalog management,Retail,simple,41,english,Application Web,LOW,0.0,0.14285714285714285
Application de fidélisation client avec recommandations IA,Retail,simple,21,french,Application Web,HIGH,0.0,0.14285714285714285
Mise en place d'un customer loyalty application with ai-powered recommendations multi-plateforme,Retail,simple,50,english,SaaS,MEDIUM,0.0,0.09090909090909091
Implémentation d'une système d'optimisation des prix avec analyse concurrentielle,Retail,simple,29,french,Système,MEDIUM,0.0,0.0
Développement d'un automated dropshipping platform with multi-vendor integration,Retail,simple,22,english,Application Web,LOW,0.0,0.0
Développement d'un application de shopping social avec partage communautaire,Retail,simple,49,french,Application Web,MEDIUM,0.0,0.0
Création d'une social shopping application with community sharing features,Retail,simple,46,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme marketplace b2b avec catalogue dynamique avec CRM-integration,Retail,moyen,79,french,SaaS,MEDIUM,0.0,0.0
Développement d'un price optimization system with competitive analysis algorithms avec interface utilisateur moderne,Retail,simple,47,english,Système,MEDIUM,0.0,0.07692307692307693
Système de gestion des commandes avec livraison prédictive,Retail,simple,49,french,Système,HIGH,0.0,0.125
Création d'une price optimization system with competitive analysis algorithms avec recommendation-engine,Retail,simple,36,english,Système,LOW,0.0,0.0
Développement d'un système de gestion des commandes avec livraison prédictive avec logistics,Retail,moyen,75,french,Système,MEDIUM,0.0,0.08333333333333333
Mise en place d'un price optimization system with competitive analysis algorithms,Retail,simple,50,english,Système,HIGH,0.0,0.0
Création d'une plateforme marketplace b2b avec catalogue dynamique,Retail,simple,39,french,SaaS,MEDIUM,0.0,0.0
Order management system with predictive delivery optimization,Retail,simple,39,english,Système,MEDIUM,0.0,0.14285714285714285
Développement d'un système de caisse intelligente avec reconnaissance d'objets,Retail,simple,40,french,Système,HIGH,0.0,0.0
Développement d'un automated dropshipping platform with multi-vendor integration,Retail,simple,28,english,Application Web,LOW,0.0,0.0
Développement d'un plateforme de dropshipping automatisé avec intégrations,Retail,simple,27,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un automated dropshipping platform with multi-vendor integration,Retail,simple,30,english,Application Web,HIGH,0.0,0.0
Développement d'un application mobile de shopping avec réalité augmentée,Retail,simple,49,french,Application Mobile,HIGH,0.0,0.0
Implémentation d'une social shopping application with community sharing features,Retail,simple,50,english,Application Web,LOW,0.0,0.0
Application mobile de shopping avec réalité augmentée multi-plateforme,Retail,simple,56,french,Application Mobile,MEDIUM,0.0,0.0
Développement d'un social shopping application with community sharing features,Retail,simple,21,english,Application Web,HIGH,0.0,0.0
Création d'une application de shopping social avec partage communautaire intégrant des APIs externes,Retail,simple,39,french,API REST,HIGH,0.0,0.0
Implémentation d'une social shopping application with community sharing features,Retail,simple,30,english,Application Web,LOW,0.0,0.0
Système d'optimisation des prix avec analyse concurrentielle,Retail,simple,21,french,Système,MEDIUM,0.0,0.0
Création d'une omnichannel e-commerce platform with inventory management,Retail,moyen,61,english,Application Web,LOW,0.0,0.125
Développement d'un plateforme de dropshipping automatisé avec intégrations avec marketplace,Retail,simple,48,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une smart checkout system with object recognition technology avec interface utilisateur moderne,Retail,simple,27,english,Système,HIGH,0.0,0.07692307692307693
Application mobile de shopping avec réalité augmentée,Retail,simple,63,french,Application Mobile,LOW,0.0,0.0
Développement d'un mobile shopping application with augmented reality features avec logistics avec interface utilisateur moderne,Retail,simple,50,english,Application Mobile,HIGH,0.0,0.06666666666666667
Implémentation d'une application mobile de shopping avec réalité augmentée,Retail,simple,46,french,Application Mobile,MEDIUM,0.0,0.0
Développement d'un social shopping application with community sharing features sécurisé et scalable,Retail,simple,41,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de fidélisation client avec recommandations ia avec authentification SSO,Retail,simple,39,french,Application Web,HIGH,0.0,0.08333333333333333
Customer loyalty application with AI-powered recommendations,Retail,simple,26,english,Application Web,MEDIUM,0.0,0.16666666666666666
Développement d'un plateforme e-commerce omnicanale avec gestion des stocks avec omnichannel,Retail,simple,34,french,SaaS,MEDIUM,0.0,0.09090909090909091
Mobile shopping application with augmented reality features avec logistics,Retail,simple,40,english,Application Mobile,HIGH,0.0,0.0
Plateforme marketplace B2B avec catalogue dynamique avec haute performance,Retail,simple,32,french,SaaS,MEDIUM,0.0,0.0
Omnichannel e-commerce platform with inventory management,Retail,moyen,60,english,Application Web,LOW,0.0,0.16666666666666666
Plateforme de dropshipping automatisé avec intégrations sécurisé et scalable,Retail,simple,26,french,SaaS,HIGH,0.0,0.0
Création d'une b2b marketplace platform with dynamic catalog management sécurisé et scalable,Retail,moyen,58,english,Application Web,LOW,0.0,0.08333333333333333
Mise en place d'un application de fidélisation client avec recommandations ia avec CRM-integration,Retail,simple,36,french,Application Web,LOW,0.0,0.07692307692307693
Order management system with predictive delivery optimization,Retail,simple,33,english,Système,LOW,0.0,0.14285714285714285
Implémentation d'une système d'optimisation des prix avec analyse concurrentielle avec interface utilisateur moderne,Retail,simple,42,french,Système,MEDIUM,0.0,0.07692307692307693
Mise en place d'un automated dropshipping platform with multi-vendor integration,Retail,simple,29,english,Application Web,LOW,0.0,0.0
Développement d'un plateforme de dropshipping automatisé avec intégrations avec analytics avancés,Retail,simple,40,french,SaaS,HIGH,0.0,0.0
Développement d'un b2b marketplace platform with dynamic catalog management,Retail,simple,47,english,Application Web,LOW,0.0,0.1111111111111111
Développement d'un application de fidélisation client avec recommandations ia,Retail,simple,28,french,Application Web,LOW,0.0,0.1111111111111111
Développement d'un smart checkout system with object recognition technology,Retail,simple,36,english,Système,LOW,0.0,0.0
Création d'une application mobile de shopping avec réalité augmentée intégrant des APIs externes,Retail,simple,41,french,Application Mobile,LOW,0.0,0.0
Mise en place d'un smart checkout system with object recognition technology,Retail,simple,27,english,Système,HIGH,0.0,0.0
Implémentation d'une application mobile de shopping avec réalité augmentée,Retail,simple,65,french,Application Mobile,HIGH,0.0,0.0
Implémentation d'une customer loyalty application with ai-powered recommendations sécurisé et scalable,Retail,moyen,65,english,Application Web,MEDIUM,0.0,0.09090909090909091
Système d'optimisation des prix avec analyse concurrentielle,Retail,simple,30,french,Système,MEDIUM,0.0,0.0
Smart checkout system with object recognition technology avec omnichannel,Retail,simple,28,english,Système,HIGH,0.0,0.0
Création d'une plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,30,french,SaaS,LOW,0.0,0.1111111111111111
Mobile shopping application with augmented reality features,Retail,simple,59,english,Application Mobile,MEDIUM,0.0,0.0
Application de fidélisation client avec recommandations IA,Retail,simple,48,french,Application Web,HIGH,0.0,0.14285714285714285
Création d'une customer loyalty application with ai-powered recommendations,Retail,simple,32,english,Application Web,MEDIUM,0.0,0.125
Développement d'un plateforme marketplace b2b avec catalogue dynamique avec payment-processing,Retail,moyen,69,french,SaaS,HIGH,0.0,0.0
Mobile shopping application with augmented reality features avec omnichannel,Retail,simple,45,english,Application Mobile,MEDIUM,0.0,0.0
Création d'une plateforme marketplace b2b avec catalogue dynamique,Retail,simple,23,french,SaaS,LOW,0.0,0.0
Développement d'un smart checkout system with object recognition technology avec analytics avancés,Retail,simple,39,english,Système,HIGH,0.0,0.0
Application mobile de shopping avec réalité augmentée,Retail,simple,48,french,Application Mobile,HIGH,0.0,0.0
Création d'une smart checkout system with object recognition technology,Retail,simple,23,english,Système,LOW,0.0,0.0
Implémentation d'une application de shopping social avec partage communautaire avec CRM-integration,Retail,moyen,61,french,Application Web,MEDIUM,0.0,0.0
Création d'une price optimization system with competitive analysis algorithms,Retail,simple,40,english,Système,LOW,0.0,0.0
Création d'une application mobile de shopping avec réalité augmentée avec inventory,Retail,simple,37,french,Application Mobile,MEDIUM,0.0,0.0
Développement d'un omnichannel e-commerce platform with inventory management,Retail,moyen,77,english,Application Web,MEDIUM,0.0,0.125
Mise en place d'un système de gestion des commandes avec livraison prédictive avec payment-processing,Retail,moyen,65,french,Système,HIGH,0.0,0.07142857142857142
Création d'une smart checkout system with object recognition technology avec CRM-integration,Retail,simple,36,english,Système,LOW,0.0,0.0
Création d'une plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,25,french,SaaS,HIGH,0.0,0.1111111111111111
Création d'une smart checkout system with object recognition technology,Retail,simple,38,english,Système,LOW,0.0,0.0
Plateforme de dropshipping automatisé avec intégrations,Retail,simple,39,french,SaaS,HIGH,0.0,0.0
Création d'une customer loyalty application with ai-powered recommendations,Retail,simple,26,english,Application Web,MEDIUM,0.0,0.125
Création d'une système de gestion des commandes avec livraison prédictive avec authentification SSO,Retail,simple,36,french,Système,LOW,0.0,0.07692307692307693
Implémentation d'une price optimization system with competitive analysis algorithms avec haute performance,Retail,simple,31,english,Système,LOW,0.0,0.0
Mise en place d'un système de caisse intelligente avec reconnaissance d'objets,Retail,simple,40,french,Système,HIGH,0.0,0.0
Développement d'un customer loyalty application with ai-powered recommendations,Retail,simple,24,english,Application Web,MEDIUM,0.0,0.125
Application mobile de shopping avec réalité augmentée,Retail,simple,46,french,Application Mobile,MEDIUM,0.0,0.0
B2B marketplace platform with dynamic catalog management intégrant des APIs externes,Retail,simple,50,english,API REST,HIGH,0.0,0.09090909090909091
Système de gestion des commandes avec livraison prédictive,Retail,simple,43,french,Système,HIGH,0.0,0.125
Omnichannel e-commerce platform with inventory management avec inventory,Retail,moyen,62,english,Application Web,MEDIUM,0.0,0.125
Implémentation d'une application de shopping social avec partage communautaire,Retail,simple,23,french,Application Web,LOW,0.0,0.0
Développement d'un omnichannel e-commerce platform with inventory management avec recommendation-engine,Retail,moyen,73,english,Application Web,MEDIUM,0.0,0.1
Développement d'un système de gestion des commandes avec livraison prédictive,Retail,simple,37,french,Système,MEDIUM,0.0,0.1
Implémentation d'une order management system with predictive delivery optimization avec logistics,Retail,simple,25,english,Système,HIGH,0.0,0.09090909090909091
Développement d'un application mobile de shopping avec réalité augmentée avec logistics,Retail,simple,54,french,Application Mobile,MEDIUM,0.0,0.0
Création d'une mobile shopping application with augmented reality features,Retail,simple,63,english,Application Mobile,HIGH,0.0,0.0
Création d'une système d'optimisation des prix avec analyse concurrentielle avec analytics avancés,Retail,simple,41,french,Système,MEDIUM,0.0,0.0
Développement d'un smart checkout system with object recognition technology,Retail,simple,41,english,Système,HIGH,0.0,0.0
Création d'une système d'optimisation des prix avec analyse concurrentielle avec logistics,Retail,simple,29,french,Système,MEDIUM,0.0,0.0
Développement d'un price optimization system with competitive analysis algorithms avec CRM-integration,Retail,simple,38,english,Système,MEDIUM,0.0,0.0
Application de fidélisation client avec recommandations IA,Retail,simple,41,french,Application Web,HIGH,0.0,0.14285714285714285
Mobile shopping application with augmented reality features avec authentification SSO,Retail,simple,42,english,Application Mobile,MEDIUM,0.0,0.0
Développement d'un application mobile de shopping avec réalité augmentée avec authentification SSO,Retail,simple,43,french,Application Mobile,HIGH,0.0,0.0
Mise en place d'un price optimization system with competitive analysis algorithms avec recommendation-engine multi-plateforme,Retail,simple,39,english,SaaS,MEDIUM,0.0,0.0
Développement d'un plateforme de dropshipping automatisé avec intégrations,Retail,simple,35,french,SaaS,LOW,0.0,0.0
Mise en place d'un price optimization system with competitive analysis algorithms avec logistics,Retail,simple,23,english,Système,MEDIUM,0.0,0.0
Création d'une plateforme de dropshipping automatisé avec intégrations,Retail,simple,27,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un automated dropshipping platform with multi-vendor integration,Retail,simple,40,english,Application Web,HIGH,0.0,0.0
Création d'une application de fidélisation client avec recommandations ia,Retail,simple,28,french,Application Web,MEDIUM,0.0,0.1111111111111111
Développement d'un customer loyalty application with ai-powered recommendations,Retail,simple,29,english,Application Web,LOW,0.0,0.125
Système de gestion des commandes avec livraison prédictive,Retail,simple,41,french,Système,MEDIUM,0.0,0.125
Omnichannel e-commerce platform with inventory management avec analytics avancés,Retail,moyen,59,english,Application Web,MEDIUM,0.0,0.1111111111111111
Création d'une application de shopping social avec partage communautaire,Retail,simple,50,french,Application Web,MEDIUM,0.0,0.0
Smart checkout system with object recognition technology,Retail,simple,37,english,Système,MEDIUM,0.0,0.0
Mise en place d'un plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,39,french,SaaS,HIGH,0.0,0.09090909090909091
Création d'une price optimization system with competitive analysis algorithms,Retail,simple,31,english,Système,MEDIUM,0.0,0.0
Création d'une système de caisse intelligente avec reconnaissance d'objets avec inventory,Retail,moyen,77,french,Système,LOW,0.0,0.0
Order management system with predictive delivery optimization avec inventory,Retail,simple,50,english,Système,HIGH,0.0,0.1111111111111111
Création d'une application de shopping social avec partage communautaire avec recommendation-engine,Retail,moyen,52,french,Application Web,HIGH,0.0,0.0
Création d'une smart checkout system with object recognition technology avec recommendation-engine,Retail,simple,37,english,Système,HIGH,0.0,0.0
Implémentation d'une plateforme marketplace b2b avec catalogue dynamique avec marketplace,Retail,simple,26,french,SaaS,HIGH,0.0,0.0
Création d'une social shopping application with community sharing features,Retail,simple,30,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application mobile de shopping avec réalité augmentée avec analytics avancés,Retail,simple,52,french,Application Mobile,MEDIUM,0.0,0.0
Implémentation d'une price optimization system with competitive analysis algorithms,Retail,simple,31,english,Système,MEDIUM,0.0,0.0
Création d'une système de gestion des commandes avec livraison prédictive avec authentification SSO,Retail,simple,35,french,Système,LOW,0.0,0.07692307692307693
Mobile shopping application with augmented reality features avec analytics avancés,Retail,simple,36,english,Application Mobile,MEDIUM,0.0,0.0
Développement d'un plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,30,french,SaaS,MEDIUM,0.0,0.1111111111111111
Développement d'un price optimization system with competitive analysis algorithms,Retail,simple,33,english,Système,HIGH,0.0,0.0
Création d'une application mobile de shopping avec réalité augmentée avec recommendation-engine,Retail,simple,36,french,Application Mobile,LOW,0.0,0.0
Automated dropshipping platform with multi-vendor integration,Retail,simple,20,english,Application Web,LOW,0.0,0.0
Création d'une système d'optimisation des prix avec analyse concurrentielle avec analytics avancés,Retail,simple,48,french,Système,MEDIUM,0.0,0.0
Implémentation d'une price optimization system with competitive analysis algorithms avec inventory,Retail,simple,50,english,Système,MEDIUM,0.0,0.0
Mise en place d'un système de gestion des commandes avec livraison prédictive,Retail,simple,32,french,Système,LOW,0.0,0.08333333333333333
Omnichannel e-commerce platform with inventory management avec logistics,Retail,moyen,74,english,Application Web,MEDIUM,0.0,0.125
Création d'une système d'optimisation des prix avec analyse concurrentielle,Retail,simple,50,french,Système,MEDIUM,0.0,0.0
Développement d'un smart checkout system with object recognition technology,Retail,simple,46,english,Système,MEDIUM,0.0,0.0
Création d'une plateforme de dropshipping automatisé avec intégrations avec recommendation-engine,Retail,simple,32,french,SaaS,HIGH,0.0,0.0
Implémentation d'une order management system with predictive delivery optimization avec omnichannel,Retail,simple,34,english,Système,LOW,0.0,0.09090909090909091
Mise en place d'un plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,34,french,SaaS,MEDIUM,0.0,0.09090909090909091
Implémentation d'une customer loyalty application with ai-powered recommendations avec recommendation-engine,Retail,moyen,71,english,Application Web,MEDIUM,0.0,0.1
Développement d'un plateforme marketplace b2b avec catalogue dynamique,Retail,simple,38,french,SaaS,LOW,0.0,0.0
Mise en place d'un smart checkout system with object recognition technology,Retail,simple,49,english,Système,HIGH,0.0,0.0
Développement d'un plateforme marketplace b2b avec catalogue dynamique,Retail,simple,26,french,SaaS,HIGH,0.0,0.0
Création d'une customer loyalty application with ai-powered recommendations,Retail,simple,50,english,Application Web,LOW,0.0,0.125
Création d'une plateforme de dropshipping automatisé avec intégrations avec logistics,Retail,simple,48,french,SaaS,HIGH,0.0,0.0
Implémentation d'une smart checkout system with object recognition technology avec analytics avancés,Retail,simple,50,english,Système,LOW,0.0,0.0
Mise en place d'un système de gestion des commandes avec livraison prédictive avec omnichannel,Retail,moyen,74,french,Système,HIGH,0.0,0.07142857142857142
Création d'une order management system with predictive delivery optimization,Retail,simple,28,english,Système,LOW,0.0,0.1111111111111111
Création d'une application mobile de shopping avec réalité augmentée,Retail,simple,45,french,Application Mobile,LOW,0.0,0.0
Implémentation d'une order management system with predictive delivery optimization avec authentification SSO,Retail,simple,20,english,Système,MEDIUM,0.0,0.08333333333333333
Application de shopping social avec partage communautaire avec marketplace,Retail,moyen,57,french,Application Web,LOW,0.0,0.0
Création d'une price optimization system with competitive analysis algorithms,Retail,simple,47,english,Système,HIGH,0.0,0.0
Mise en place d'un plateforme marketplace b2b avec catalogue dynamique,Retail,simple,28,french,SaaS,MEDIUM,0.0,0.0
Création d'une automated dropshipping platform with multi-vendor integration avec omnichannel multi-plateforme,Retail,simple,28,english,SaaS,MEDIUM,0.0,0.0
Mise en place d'un plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,41,french,SaaS,MEDIUM,0.0,0.09090909090909091
Implémentation d'une customer loyalty application with ai-powered recommendations,Retail,simple,28,english,Application Web,HIGH,0.0,0.125
Mise en place d'un application mobile de shopping avec réalité augmentée,Retail,simple,55,french,Application Mobile,LOW,0.0,0.0
Développement d'un b2b marketplace platform with dynamic catalog management avec omnichannel multi-plateforme,Retail,moyen,73,english,SaaS,LOW,0.0,0.08333333333333333
Mise en place d'un système d'optimisation des prix avec analyse concurrentielle,Retail,simple,50,french,Système,MEDIUM,0.0,0.0
Création d'une order management system with predictive delivery optimization multi-plateforme,Retail,simple,44,english,SaaS,HIGH,0.0,0.1
Implémentation d'une application de fidélisation client avec recommandations ia avec marketplace,Retail,simple,41,french,Application Web,LOW,0.0,0.09090909090909091
Implémentation d'une b2b marketplace platform with dynamic catalog management,Retail,simple,43,english,Application Web,LOW,0.0,0.1111111111111111
Création d'une plateforme e-commerce omnicanale avec gestion des stocks,Retail,simple,42,french,SaaS,LOW,0.0,0.1111111111111111
Automated dropshipping platform with multi-vendor integration,Retail,simple,34,english,Application Web,LOW,0.0,0.0
Création d'une application de fidélisation client avec recommandations ia,Retail,simple,37,french,Application Web,MEDIUM,0.0,0.1111111111111111
Implémentation d'une social shopping application with community sharing features,Retail,simple,28,english,Application Web,LOW,0.0,0.0
Implémentation d'une système de caisse intelligente avec reconnaissance d'objets avec logistics,Retail,moyen,51,french,Système,MEDIUM,0.0,0.0
Mise en place d'un automated dropshipping platform with multi-vendor integration,Retail,simple,37,english,Application Web,HIGH,0.0,0.0
Création d'une application mobile de shopping avec réalité augmentée,Retail,simple,61,french,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un smart checkout system with object recognition technology avec marketplace,Retail,simple,21,english,Système,LOW,0.0,0.0
Implémentation d'une application mobile de shopping avec réalité augmentée,Retail,simple,53,french,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un mobile shopping application with augmented reality features avec payment-processing,Retail,simple,56,english,Application Mobile,LOW,0.0,0.0
Mise en place d'un application mobile de shopping avec réalité augmentée avec omnichannel,Retail,simple,42,french,Application Mobile,HIGH,0.0,0.0
Mise en place d'un customer loyalty application with ai-powered recommendations,Retail,simple,44,english,Application Web,LOW,0.0,0.1
Développement d'un application de fidélisation client avec recommandations ia,Retail,simple,46,french,Application Web,MEDIUM,0.0,0.1111111111111111
Implémentation d'une omnichannel e-commerce platform with inventory management,Retail,moyen,75,english,Application Web,MEDIUM,0.0,0.125
Développement d'un système de gestion des commandes avec livraison prédictive,Retail,simple,27,french,Système,LOW,0.0,0.1
Création d'une order management system with predictive delivery optimization,Retail,simple,42,english,Système,LOW,0.0,0.1111111111111111
Implémentation d'une système de gestion des commandes avec livraison prédictive,Retail,simple,45,french,Système,MEDIUM,0.0,0.1
Mise en place d'un social shopping application with community sharing features multi-plateforme,Retail,simple,29,english,SaaS,HIGH,0.0,0.0
Développement d'un système d'optimisation des prix avec analyse concurrentielle,Retail,simple,28,french,Système,MEDIUM,0.0,0.0
Mise en place d'un price optimization system with competitive analysis algorithms,Retail,simple,40,english,Système,LOW,0.0,0.0
Implémentation d'une plateforme marketplace b2b avec catalogue dynamique,Retail,simple,48,french,SaaS,LOW,0.0,0.0
Mobile shopping application with augmented reality features avec marketplace,Retail,simple,38,english,Application Mobile,LOW,0.0,0.0
Système de gestion des commandes avec livraison prédictive,Retail,simple,24,french,Système,HIGH,0.0,0.125
Mise en place d'un omnichannel e-commerce platform with inventory management,Retail,moyen,61,english,Application Web,MEDIUM,0.0,0.1
Plateforme e-commerce omnicanale avec gestion des stocks multi-plateforme,Retail,simple,37,french,SaaS,HIGH,0.0,0.125
Implémentation d'une customer loyalty application with ai-powered recommendations,Retail,simple,27,english,Application Web,MEDIUM,0.0,0.125
Implémentation d'une application de shopping social avec partage communautaire avec inventory,Retail,moyen,52,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une order management system with predictive delivery optimization,Retail,simple,36,english,Système,HIGH,0.0,0.1111111111111111
Création d'une système de gestion des commandes avec livraison prédictive,Retail,simple,20,french,Système,HIGH,0.0,0.1
Développement d'un customer loyalty application with ai-powered recommendations avec analytics avancés,Retail,simple,23,english,Application Web,HIGH,0.0,0.09090909090909091
Développement d'un système d'optimisation des prix avec analyse concurrentielle,Retail,simple,48,french,Système,MEDIUM,0.0,0.0
Création d'une omnichannel e-commerce platform with inventory management,Retail,moyen,54,english,Application Web,HIGH,0.0,0.125
Plateforme marketplace B2B avec catalogue dynamique avec marketplace,Retail,simple,44,french,SaaS,HIGH,0.0,0.0
Mise en place d'un customer loyalty application with ai-powered recommendations intégrant des APIs externes,Retail,simple,39,english,API REST,HIGH,0.0,0.07142857142857142
Application de fidélisation client avec recommandations IA,Retail,simple,42,french,Application Web,HIGH,0.0,0.14285714285714285
Customer loyalty application with AI-powered recommendations avec analytics avancés,Retail,simple,29,english,Application Web,LOW,0.0,0.1111111111111111
Création d'une application de shopping social avec partage communautaire,Retail,simple,41,french,Application Web,MEDIUM,0.0,0.0
Omnichannel e-commerce platform with inventory management,Retail,moyen,69,english,Application Web,LOW,0.0,0.16666666666666666
Implémentation d'une application de fidélisation client avec recommandations ia avec recommendation-engine,Retail,simple,32,french,Application Web,MEDIUM,0.0,0.09090909090909091
Implémentation d'une omnichannel e-commerce platform with inventory management,Retail,moyen,76,english,Application Web,LOW,0.0,0.125
Développement d'un plateforme marketplace b2b avec catalogue dynamique avec recommendation-engine,Retail,moyen,72,french,SaaS,MEDIUM,0.0,0.0
Développement d'un smart checkout system with object recognition technology,Retail,simple,37,english,Système,LOW,0.0,0.0
Création d'une système de caisse intelligente avec reconnaissance d'objets avec payment-processing,Retail,moyen,64,french,Système,MEDIUM,0.0,0.0
Implémentation d'une b2b marketplace platform with dynamic catalog management,Retail,simple,46,english,Application Web,MEDIUM,0.0,0.1111111111111111
Création d'une application de shopping social avec partage communautaire,Retail,simple,25,french,Application Web,HIGH,0.0,0.0
Order management system with predictive delivery optimization,Retail,simple,40,english,Système,HIGH,0.0,0.14285714285714285
Implémentation d'une application de fidélisation client avec recommandations ia,Retail,simple,45,french,Application Web,MEDIUM,0.0,0.1111111111111111
Social shopping application with community sharing features,Retail,simple,38,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de dropshipping automatisé avec intégrations,Retail,simple,32,french,SaaS,HIGH,0.0,0.0
Création d'une price optimization system with competitive analysis algorithms,Retail,simple,36,english,Système,HIGH,0.0,0.0
Implémentation d'une plateforme de dropshipping automatisé avec intégrations,Retail,simple,32,french,SaaS,HIGH,0.0,0.0
Création d'une social shopping application with community sharing features sécurisé et scalable,Retail,simple,42,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une plateforme e-commerce omnicanale avec gestion des stocks avec recommendation-engine,Retail,simple,33,french,SaaS,LOW,0.0,0.09090909090909091
Création d'une order management system with predictive delivery optimization avec inventory,Retail,simple,23,english,Système,HIGH,0.0,0.09090909090909091
Plateforme marketplace B2B avec catalogue dynamique avec marketplace,Retail,simple,30,french,SaaS,LOW,0.0,0.0
Développement d'un order management system with predictive delivery optimization sécurisé et scalable,Retail,simple,29,english,Système,MEDIUM,0.0,0.08333333333333333
Implémentation d'une système de gestion des commandes avec livraison prédictive,Retail,simple,26,french,Système,HIGH,0.0,0.1
Développement d'un automated dropshipping platform with multi-vendor integration,Retail,simple,40,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application mobile de shopping avec réalité augmentée avec omnichannel,Retail,simple,60,french,Application Mobile,LOW,0.0,0.0
Implémentation d'une omnichannel e-commerce platform with inventory management avec marketplace,Retail,moyen,56,english,Application Web,LOW,0.0,0.1
Plateforme de dropshipping automatisé avec intégrations avec authentification SSO,Retail,simple,37,french,SaaS,MEDIUM,0.0,0.0
Création d'une mobile shopping application with augmented reality features,Retail,simple,40,english,Application Mobile,MEDIUM,0.0,0.0
Développement d'un système de gestion des commandes avec livraison prédictive,Retail,simple,29,french,Système,LOW,0.0,0.1
Implémentation d'une b2b marketplace platform with dynamic catalog management avec CRM-integration,Retail,moyen,64,english,Application Web,HIGH,0.0,0.09090909090909091
Développement d'un application mobile de shopping avec réalité augmentée avec payment-processing intégrant des APIs externes,Retail,simple,46,french,Application Mobile,MEDIUM,0.0,0.0
Création d'une customer loyalty application with ai-powered recommendations,Retail,simple,37,english,Application Web,MEDIUM,0.0,0.125
Application de fidélisation client avec recommandations IA,Retail,simple,45,french,Application Web,MEDIUM,0.0,0.14285714285714285
Développement d'un customer loyalty application with ai-powered recommendations,Retail,simple,24,english,Application Web,HIGH,0.0,0.125
Implémentation d'une application de shopping social avec partage communautaire,Retail,simple,34,french,Application Web,MEDIUM,0.0,0.0
Omnichannel e-commerce platform with inventory management avec CRM-integration,Retail,moyen,68,english,Application Web,MEDIUM,0.0,0.125
Développement d'un système de gestion des commandes avec livraison prédictive avec omnichannel,Retail,moyen,72,french,Système,HIGH,0.0,0.08333333333333333
Création d'une order management system with predictive delivery optimization,Retail,simple,35,english,Système,HIGH,0.0,0.1111111111111111
Implémentation d'une application mobile de shopping avec réalité augmentée multi-plateforme,Retail,simple,50,french,Application Mobile,LOW,0.0,0.0
Implémentation d'une omnichannel e-commerce platform with inventory management avec logistics,Retail,moyen,51,english,Application Web,HIGH,0.0,0.1
